Airports,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov ,Dec,YearNo,Airports1,Name2
DIBRUGARH,19953,18373,18771,18298,20139,19565,20536,18142,17201,19331,18667,19630,2011,DIBRUGARH,
MUMBAI,1794579,1701361,1692937,1653788,1938684,1735089,1687202,1676063,0,1748084,1854209,1901803,2011,MUMBAI,
INDORE,73023,72411,74331,79496,103125,95417,90058,89724,77095,89785,97877,102891,2011,INDORE,
LEH,17931,16785,23863,24504,41869,49366,49479,48279,34821,27322,17038,19249,2011,LEH,
JUHU,10038,9560,10513,11305,10959,12174,12166,0,0,0,0,0,2011,JUHU,
DELHI (DIAL),0,0,0,0,0,0,0,0,1795664,0,0,0,2011,DELHI,DIAL)
HYDERABAD (GHIAL),0,0,0,0,0,0,0,0,493969,0,0,0,2011,HYDERABAD,GHIAL)
PORTBLAIR,56071,46342,48166,46175,51726,49155,34836,30629,36579,57610,57797,66010,2011,PORTBLAIR,
KOLKATA,744696,661066,725728,668667,783923,777859,718013,625615,626175,795770,753886,827757,2011,KOLKATA,
CALICUT,19924,11348,17055,19397,19951,17099,18670,16421,21959,17656,17662,21243,2011,CALICUT,
BANGALORE (BIAL),0,0,0,0,0,0,0,0,791955,0,0,0,2011,BANGALORE,BIAL)
MUMBAI (MIAL),0,0,0,0,0,0,0,0,1580176,0,0,0,2011,MUMBAI,MIAL)
GAYA,0,0,0,0,0,0,0,0,0,0,1941,4421,2011,GAYA,
TRIVANDRUM,62133,62516,64871,67378,74512,71441,74065,80365,80548,83284,87809,105972,2011,TRIVANDRUM,
COCHIN,198849,161076,154679,170354,197334,167468,166744,169301,0,172609,188749,210805,2011,COCHIN,
MANGALORE,52039,43870,46022,46776,58275,46093,47611,45118,45829,49536,56482,62485,2011,MANGALORE,
AGARATALA,70263,73653,88252,69501,72783,71326,75924,71577,70229,80967,67315,77266,2011,AGARATALA,
CHENNAI,706307,646455,678031,664591,764416,741277,729841,699745,672837,696896,710496,786760,2011,CHENNAI,
HYDERABAD,518798,467368,484769,479465,564402,561094,534582,516767,0,577103,572755,595065,2011,HYDERABAD,
TIRUPATI,14628,13880,15354,13622,13395,15893,14796,15051,14912,21229,24843,28864,2011,TIRUPATI,
SRINAGAR,86901,97987,118133,124452,152793,169190,175589,119862,124970,149165,105447,113001,2011,SRINAGAR,
GUWAHATI,174215,148431,167160,169028,206399,190083,208408,173358,166873,208725,181369,205196,2011,GUWAHATI,
BHUBANESWAR,85026,77280,102045,95700,117781,117465,107866,101168,98234,70613,104902,117247,2011,BHUBANESWAR,
VISAKHAPATNAM,67133,60598,61175,61567,71525,79665,70858,69552,68878,89011,84512,93426,2011,VISAKHAPATNAM,
AURANGABAD,25805,27230,27618,28199,30234,31526,30003,30989,28809,31213,36288,40564,2011,AURANGABAD,
COCHIN (CIAL),0,0,0,0,0,0,0,0,169810,0,0,0,2011,COCHIN,CIAL)
SILCHAR,9650,14147,14230,12955,17974,19131,19850,17156,16150,18810,16831,17478,2011,SILCHAR,
LUCKNOW,111578,119903,137893,110491,148928,161053,143480,131676,116036,149843,151763,145793,2011,LUCKNOW,
PATNA,64983,66628,85743,70207,95806,98290,85414,73948,73026,78526,104294,84251,2011,PATNA,
NAGPUR (MIPL),0,0,0,0,0,0,0,0,97889,0,0,0,2011,NAGPUR,MIPL)
DELHI,1783725,1735747,2113001,2026758,2268703,2277153,2011619,1930933,0,2208410,2241666,2226195,2011,DELHI,
JAMMU,63968,75156,91016,82662,72106,72176,73979,67813,60297,70936,76200,73870,2011,JAMMU,
COIMBATORE,111258,94123,96370,97881,122581,109491,106907,99781,99969,99232,105465,106225,2011,COIMBATORE,
VARANASI,48131,49963,51026,44073,49500,47819,44649,48060,41107,59743,72289,64959,2011,VARANASI,
CHANDIGARH,28511,55654,66530,63287,73479,72375,66133,62119,55532,69609,70856,70563,2011,CHANDIGARH,
IMPHAL,50865,46744,55006,50561,54899,63902,61839,65604,66634,62294,62132,64524,2011,IMPHAL,
JAIPUR,130658,125887,122945,114846,131518,124965,120661,115241,105405,137698,152092,163454,2011,JAIPUR,
RAJKOT,22807,22074,19453,18155,20750,18806,18877,20557,18655,20972,22149,25680,2011,RAJKOT,
AMRITSAR,26963,35077,43350,36867,32727,34559,37174,42414,40033,51672,49392,49954,2011,AMRITSAR,
BANGALORE,819527,771715,779785,829040,947889,873931,871943,841899,0,891166,884514,938527,2011,BANGALORE,
BAGDOGRA,43114,40862,57130,64844,83012,85680,48169,42208,43707,65008,57306,58331,2011,BAGDOGRA,
PUNE,236354,228174,235154,236990,266990,261325,262586,264284,242098,254980,296750,302590,2011,PUNE,
AHMEDABAD,343045,317168,299862,281022,363014,314124,317563,309697,297712,355476,364509,375828,2011,AHMEDABAD,
VADODARA,58256,54340,50248,45085,62416,57195,47892,46917,44639,54541,63845,67695,2011,VADODARA,
MADURAI,43838,38427,39117,39825,44767,42073,41417,40406,40401,41035,44729,47357,2011,MADURAI,
JODHPUR,0,0,0,0,0,0,0,14176,14276,18505,25567,24966,2011,JODHPUR,
RANCHI,29293,30740,34991,31475,40192,40532,38044,36105,33664,43666,46008,48553,2011,RANCHI,
BHOPAL,30088,28401,29906,28508,29228,33210,32620,31445,30098,32955,35238,36924,2011,BHOPAL,
GOA,253348,234933,236499,219387,235300,204484,197626,208933,209071,251923,280127,298631,2011,GOA,
TRICHY,8414,5782,6007,0,0,0,0,8098,8310,7798,9403,11873,2011,TRICHY,
UDAIPUR,37173,36785,34346,22759,21610,22454,23521,24607,22606,28806,35952,42466,2011,UDAIPUR,
RAIPUR,46929,47439,64836,58237,73455,71132,62496,60924,53352,67013,69413,75005,2011,RAIPUR,
NAGPUR,110179,97431,103520,98170,132722,125256,118566,94980,0,122972,128797,134048,2011,NAGPUR,
DIBRUGARH,20540,19773,20043,21861,19453,19794,20629,17765,16181,19369,19901,20224,2012,DIBRUGARH,
MUMBAI,1869016,1748267,1651227,0,0,0,0,0,0,0,0,0,2012,MUMBAI,
INDORE,102333,95347,87581,92545,95943,98221,85047,79639,71543,78010,89822,102716,2012,INDORE,
LEH,15617,20251,25627,28870,44880,47723,45309,41375,27166,21806,16396,19544,2012,LEH,
DELHI (DIAL),0,0,0,2075169,2262913,2210184,1805416,1639536,1477141,1599239,1782653,1977246,2012,DELHI,DIAL)
HYDERABAD (GHIAL),0,0,0,521332,550176,534436,500976,506816,442627,480121,504193,559154,2012,HYDERABAD,GHIAL)
PORTBLAIR,62470,62497,55551,53832,71250,57037,29922,35835,43255,57777,64801,73221,2012,PORTBLAIR,
KOLKATA,787534,694758,677932,720270,786581,759080,755310,784383,569820,716193,663419,744981,2012,KOLKATA,
CALICUT,20061,18577,18065,24808,32397,26164,27989,29598,27354,20862,28462,25940,2012,CALICUT,
BANGALORE (BIAL),0,0,0,829477,873928,789159,739505,759854,667588,748755,788489,853529,2012,BANGALORE,BIAL)
GAYA,4267,3036,2478,0,0,0,0,0,3515,5818,4225,3496,2012,GAYA,
MUMBAI (MIAL),0,0,0,1751772,1825668,1647164,1476792,1507970,1395597,1538283,1811259,1928503,2012,MUMBAI,MIAL)
TRIVANDRUM,98960,79169,75404,84182,97777,83265,75492,86284,76675,74700,83289,91632,2012,TRIVANDRUM,
COCHIN,197829,174140,145870,0,0,0,0,0,0,0,0,0,2012,COCHIN,
MANGALORE,59267,57667,51388,66654,69947,59495,57992,57842,53908,55448,61165,72593,2012,MANGALORE,
AGARATALA,64486,57041,58181,0,0,0,0,0,0,0,0,0,2012,AGARATALA,
CHENNAI,774641,707531,668149,681454,785516,701915,660767,650614,620373,643711,676659,757314,2012,CHENNAI,
HYDERABAD,574464,529942,515394,0,0,0,0,0,0,0,0,0,2012,HYDERABAD,
TIRUPATI,26262,25550,26264,21637,22962,25597,27167,30493,20209,18782,21316,25683,2012,TIRUPATI,
SRINAGAR,114233,130698,152698,173329,219216,223658,188794,128905,130770,209325,132945,127428,2012,SRINAGAR,
GUWAHATI,195166,159574,162126,192797,185930,186041,185118,136954,127518,164014,167943,198420,2012,GUWAHATI,
BHUBANESWAR,111795,106184,101085,110832,128028,127453,106013,104253,92119,114653,112570,133788,2012,BHUBANESWAR,
VISAKHAPATNAM,95954,86155,86534,85081,94054,86885,78969,81378,63353,78858,75557,95203,2012,VISAKHAPATNAM,
AURANGABAD,39753,36212,34341,35274,40956,39552,33795,33998,31654,32080,34510,38559,2012,AURANGABAD,
COCHIN (CIAL),0,0,0,167409,178262,152346,140490,161415,146042,138916,161715,209706,2012,COCHIN,CIAL)
SILCHAR,18146,17635,17201,17972,17827,17666,19389,16912,16424,17415,19725,17953,2012,SILCHAR,
LUCKNOW,134939,135392,134026,139878,146068,156267,124594,109865,100465,114263,155224,161393,2012,LUCKNOW,
PATNA,76989,82679,80205,96160,92448,108426,86548,80843,67830,82001,89224,76306,2012,PATNA,
NAGPUR (MIPL),0,0,0,109022,117223,114955,91843,82604,78410,84014,78410,121765,2012,NAGPUR,MIPL)
DELHI,2042683,2039133,2063039,0,0,0,0,0,0,0,0,0,2012,DELHI,
JAMMU,68383,80997,89170,86693,89384,89845,79004,58316,56412,61478,71917,73115,2012,JAMMU,
COIMBATORE,112317,101012,82246,104197,123295,105256,95996,92170,82730,86131,95882,104420,2012,COIMBATORE,
VARANASI,67147,67340,77238,58962,48286,53446,44486,46992,42570,57135,68741,69570,2012,VARANASI,
CHANDIGARH,55481,70305,72354,67582,70041,68961,68927,64997,66372,79238,87176,72685,2012,CHANDIGARH,
IMPHAL,60285,52212,57820,57820,60362,61354,61323,52821,49066,45229,56027,42701,2012,IMPHAL,
JAIPUR,154555,160492,114846,151168,141862,91194,114479,114491,104187,123235,145263,159536,2012,JAIPUR,
RAJKOT,29740,22074,24948,25259,24592,23036,18766,20820,17072,20633,26579,27760,2012,RAJKOT,
AMRITSAR,47353,35057,36235,47501,33444,31470,33720,35363,34053,44907,55898,55067,2012,AMRITSAR,
BANGALORE,889073,843700,741025,0,0,0,0,0,0,0,0,0,2012,BANGALORE,
BAGDOGRA,53510,48228,60714,67256,73194,75570,43386,32158,30595,48808,57302,55205,2012,BAGDOGRA,
PUNE,295607,283349,261802,272850,284590,272437,258369,254685,231447,236121,274134,295475,2012,PUNE,
AHMEDABAD,348585,336373,286249,299055,331905,293626,240685,236081,217259,239129,296974,302847,2012,AHMEDABAD,
MADURAI,48185,41239,40314,40292,50226,48108,43954,44463,37264,0,0,0,2012,MADURAI,
VADODARA,68971,63383,47362,59545,69021,61118,53065,47647,44024,46792,60394,63418,2012,VADODARA,
JODHPUR,23256,25358,18776,19774,16422,17359,15970,16223,16623,20082,25954,28933,2012,JODHPUR,
RANCHI,43081,42989,41144,42266,38146,40452,35063,32180,30006,36878,40628,45444,2012,RANCHI,
BHOPAL,43581,41394,41513,43088,44393,44534,37675,37479,34647,36042,35829,46896,2012,BHOPAL,
GOA,305219,279486,253103,241844,231610,210147,174373,201279,196053,227404,251359,285506,2012,GOA,
TRICHY,14617,14026,11842,12261,11195,7797,7470,7715,6590,6486,6250,6939,2012,TRICHY,
AGARTALA,0,0,0,62917,73401,66129,66916,63326,57547,67408,70734,78405,2012,AGARTALA,
