TrainNo,SourceStationName,DestinationStationName,State,RailwayZone,Abbreviation,Distance,SourceStation,DestinationStation,DestinationState
17405,TIRUPATI,ADILABAD,NULL,NULL,NULL,1154,TPTY,ADB,Telangana
17410,NANDED,ADILABAD,NULL,NULL,NULL,184,NED,ADB,Telangana
22861,SHALIMAR,ADRA,NULL,NULL,NULL,288,SHM,ADRA,"West Bengal"
14020,"ANAND VIHAR TERMINAL",AGARTALA,Delhi,"NR/Northern Railways",DL,2479,ANVT,AGTL,Tripura
15659,SEALDAH,AGARTALA,NULL,NULL,NULL,1555,SDAH,AGTL,Tripura
20502,"ANAND VIHAR TERMINAL",AGARTALA,Delhi,"NR/Northern Railways",DL,2413,ANVT,AGTL,Tripura
12050,"HAZRAT NIZAMUDDIN JN","AGRA CANTT",Delhi,"NR/Northern Railways",DL,183,NZM,AGC,"Uttar Pradesh"
12161,"LOKMANYA TILAK TERMINUS","AGRA CANTT",Maharashtra,CR/Central,MH,1320,LTT,AGC,"Uttar Pradesh"
12179,"LUCKNOW JN.","AGRA CANTT",NULL,NULL,NULL,323,LJN,AGC,"Uttar Pradesh"
12319,KOLKATA,"AGRA CANTT",NULL,NULL,NULL,1416,KOAA,AGC,"Uttar Pradesh"
13167,KOLKATA,"AGRA CANTT",NULL,NULL,NULL,1462,KOAA,AGC,"Uttar Pradesh"
14212,"NEW DELHI","AGRA CANTT",Delhi,"NR/Northern Railways",DL,191,NDLS,AGC,"Uttar Pradesh"
12035,"JAIPUR JN.","AGRA  FORT",Rajasthan,"North Western",RJ,240,JP,AF,"Uttar Pradesh"
12196,"AJMER JN.","AGRA  FORT",Rajasthan,"NWR/North Western",RJ,375,AII,AF,"Uttar Pradesh"
12548,AHMEDABAD,"AGRA  FORT",Gujarat,WR/Western,GU,864,ADI,AF,"Uttar Pradesh"
15056,RAMNAGAR,"AGRA  FORT",NULL,NULL,NULL,440,RMR,AF,"Uttar Pradesh"
11050,"CHHATRAPATI SHAHU MAHARAJ TERMINUS",AHMEDABAD,Maharashtra,CR,MH,949,KOP,ADI,Gujarat
11096,"PUNE JN.",AHMEDABAD,Maharashtra,CR/Central,MH,622,PUNE,ADI,Gujarat
12009,"MUMBAI CENTRAL",AHMEDABAD,Maharashtra,WR/Western,MH,490,BCT,ADI,Gujarat
12267,"MUMBAI CENTRAL",AHMEDABAD,Maharashtra,WR/Western,MH,490,BCT,ADI,Gujarat
12298,"PUNE JN.",AHMEDABAD,Maharashtra,CR/Central,MH,622,PUNE,ADI,Gujarat
12474,"SHRI MATA VAISHNO DEVI KATRA",AHMEDABAD,NULL,NULL,NULL,1739,SVDK,ADI,Gujarat
12547,"AGRA  FORT",AHMEDABAD,"Uttar Pradesh","NCR/North Central",UP,866,AF,ADI,Gujarat
12656,"CHENNAI CENTRAL",AHMEDABAD,"Tamil Nadu","SR/Southern Railways",TN,1895,MAS,ADI,Gujarat
12834,"HOWRAH JN.",AHMEDABAD,"West Bengal",Eastern,WB,2098,HWH,ADI,Gujarat
12843,PURI,AHMEDABAD,Odisha,"ECoR / East Coast",OR,2148,PURI,ADI,Gujarat
12901,"MUMBAI CENTRAL",AHMEDABAD,Maharashtra,WR/Western,MH,490,BCT,ADI,Gujarat
12916,"DELHI JN.",AHMEDABAD,Delhi,"NR/Northern Railways",DL,933,DLI,ADI,Gujarat
12918,"HAZRAT NIZAMUDDIN JN",AHMEDABAD,Delhi,"NR/Northern Railways",DL,1077,NZM,ADI,Gujarat
12931,"MUMBAI CENTRAL",AHMEDABAD,Maharashtra,WR/Western,MH,490,BCT,ADI,Gujarat
12933,"MUMBAI CENTRAL",AHMEDABAD,Maharashtra,WR/Western,MH,490,BCT,ADI,Gujarat
12948,"PATNA JN.",AHMEDABAD,NULL,NULL,NULL,1754,PNBE,ADI,Gujarat
12958,"NEW DELHI",AHMEDABAD,Delhi,"NR/Northern Railways",DL,934,NDLS,ADI,Gujarat
14803,BHAGAT-KI-KOTHI,AHMEDABAD,Rajasthan,"NWR/North Western Railway",RJ,479,BGKT,ADI,Gujarat
15269,"MUZAFFARPUR JN.",AHMEDABAD,Bihar,"ECR/East Central Railway",BR,1744,MFP,ADI,Gujarat
15559,"DARBHANGA JN.",AHMEDABAD,NULL,NULL,NULL,2018,DBG,ADI,Gujarat
16502,"YESVANTPUR JN.",AHMEDABAD,Karnataka,"SWR/South Western",KA,1785,YPR,ADI,Gujarat
18405,PURI,AHMEDABAD,Odisha,"ECoR / East Coast",OR,2013,PURI,ADI,Gujarat
19032,"HARIDWAR JN",AHMEDABAD,Uttarakhand,"NR/Northern Railways",UT,1203,HW,ADI,Gujarat
19033,VALSAD,AHMEDABAD,Gujarat,WR/Western,GU,297,BL,ADI,Gujarat
19035,"VADODARA JN.",AHMEDABAD,Gujarat,WR/Western,GU,99,BRC,ADI,Gujarat
19108,UDHAMPUR,AHMEDABAD,"Jammu & Kashmir","NR/Northern Railways",JK,1539,UHP,ADI,Gujarat
19120,SOMNATH,AHMEDABAD,NULL,NULL,NULL,435,SMNH,ADI,Gujarat
19166,"DARBHANGA JN.",AHMEDABAD,NULL,NULL,NULL,1945,DBG,ADI,Gujarat
19168,"VARANASI JN.",AHMEDABAD,"Uttar Pradesh","NER/ Northern Eastern",UP,1601,BSB,ADI,Gujarat
19224,"JAMMU TAWI",AHMEDABAD,"Jammu & Kashmir","NR/Northern Railways",JK,1476,JAT,ADI,Gujarat
19402,"LUCKNOW JN.",AHMEDABAD,NULL,NULL,NULL,1300,LKO,ADI,Gujarat
