Airports1,Passengers(Jan),Passengers(Feb),Passengers(Mar),Passengers(Apr),Passengers(May),Passengers(Jun),Passengers(Jul),Passengers(Aug),Passengers(Sep),Passengers(Oct),Passengers(Nov),Passengers(Dec),Total,Year
MUMBAI,1794579,1701361,1692937,1653788,1938684,1735089,1687202,1676063,1580176,1748084,1854209,1901803,20963975,2011
MUMBAI,1869016,1748267,1651227,1751772,1825668,1647164,1476792,1507970,1395597,1538283,1811259,1928503,20151518,2012
MUMBAI,1862373,1751411,1780159,1780940,1992150,1689259,1703153,1915069,1656203,1724398,1889104,2007117,21751336,2013
MUMBAI,1866477,1802769,1854047,1891997,2155202,1939099,1767718,1995326,2030720,2124552,2093230,2343268,23864405,2014
MUMBAI,2311493,2254077,2298593,2418961,2567032,2268381,2329524,2392728,2372492,2419774,2589297,2770303,28992655,2015
MUMBAI,2689319,2583068,2645054,2653397,2865163,2550670,2765306,2756693,2686052,2636181,2669327,2955907,32456137,2016
MUMBAI,2951492,2585901,2636364,2631112,2994953,2744459,2773280,2827209,2711355,2901098,3000848,3112940,33871011,2017
MUMBAI,3129079,2917790,3105654,3020411,3083721,2873863,2993363,2948251,2847387,2819341,2832982,3046880,35618722,2018
MUMBAI,2984842,2529642,2412096,2328891,2839095,2891923,2867461,2965436,2841489,2914226,3074219,3118558,33767878,2019
DELHI,1783725,1735747,2113001,2026758,2268703,2277153,2011619,1930933,1795664,2208410,2241666,2226195,24619574,2011
DELHI,2042683,2039133,2063039,2075169,2262913,2210184,1805416,1639536,1477141,1599239,1782653,1977246,22974352,2012
DELHI,1868512,1864421,2062026,2004892,2229176,2077189,1954016,1962946,1745344,1998954,2050418,2129344,23947238,2013
DELHI,1857580,1948233,2237585,2161741,2388151,2383844,2098004,2185771,2191205,2271156,2254800,2405280,26383350,2014
DELHI,2313095,2331085,2466999,2592177,2838921,2732359,2719397,2657192,2617466,2798462,2939518,3088283,32094954,2015
DELHI,2977333,3040618,3270267,3271591,3567065,3347942,3477225,3360871,3358251,3478193,3624668,3745169,40519193,2016
DELHI,3751564,3486137,3737036,3710715,4097748,3882652,3787827,3814545,3748037,4155542,4042207,4331354,46545364,2017
DELHI,4238135,4065409,4434031,4383869,4420077,4276157,4351957,4283128,4174874,4303012,4037360,4370713,51338722,2018
DELHI,4206828,3826998,3889794,3581007,3857847,4032767,4337904,4277039,4225477,4421886,4636673,4522659,49816879,2019
BANGALORE,819527,771715,779785,829040,947889,873931,871943,841899,791955,891166,884514,938527,10241891,2011
BANGALORE,889073,843700,741025,829477,873928,789159,739505,759854,667588,748755,788489,853529,9524082,2012
BANGALORE,829996,795529,813444,860803,932333,802981,829378,917538,756552,871926,851374,925303,10187157,2013
BANGALORE,861133,803584,821573,889526,999493,918553,927356,1038824,1093279,1085058,1046229,1160624,11645232,2014
BANGALORE,1126792,1065905,1116941,1208706,1292982,1184267,1277026,1279147,1207497,1332640,1325623,1421886,14839412,2015
BANGALORE,1365078,1330652,1379475,1485502,1634634,1458251,1617371,1583068,1511573,1701964,1729088,1825171,18621827,2016
BANGALORE,1802314,1493490,1439540,1504943,1847667,1757678,1796729,1829612,1791883,1961737,1951875,2136680,21314148,2017
BANGALORE,2202335,2089470,2225771,2285077,2358276,2296655,2399010,2377057,2295397,2457167,2426691,2644995,28057901,2018
BANGALORE,2603329,2236283,2445004,2319400,2492324,2348284,2331749,2362574,2237442,2385204,2481058,2542865,28785516,2019
HYDERABAD,518798,467368,484769,479465,564402,561094,534582,516767,493969,577103,572755,595065,6366137,2011
HYDERABAD,574464,529942,515394,521332,550176,534436,500976,506816,442627,480121,504193,559154,6219631,2012
HYDERABAD,527323,508381,517762,508895,561891,498992,508085,581018,477732,507916,490456,559722,6248173,2013
HYDERABAD,506926,498242,510929,520019,597327,592622,582050,680807,657544,626986,630653,721131,7125236,2014
HYDERABAD,691672,646536,658248,698406,761255,702905,753686,750248,702794,787150,778865,856682,8788447,2015
HYDERABAD,830614,790913,824748,852645,914955,846234,954681,974079,908581,993542,1022841,1094831,11008664,2016
HYDERABAD,1100983,1026493,1042748,1080938,1065930,1084587,1135005,1124138,1110439,1220747,1239827,1358551,13590386,2017
HYDERABAD,1403049,1277628,1370234,1383381,1420081,1346233,1449387,1397785,1411773,1492375,1403883,1586235,16942044,2018
HYDERABAD,1555455,1460094,1512239,1460332,1587978,1487112,1486539,1481202,1323290,1561707,1638936,1687237,18242121,2019
COCHIN,198849,161076,154679,170354,197334,167468,166744,169301,169810,172609,188749,210805,2127778,2011
COCHIN,197829,174140,145870,167409,178262,152346,140490,161415,146042,138916,161715,209706,1974140,2012
COCHIN,187347,159350,158068,183921,188269,159223,144409,179477,173191,157861,188570,222377,2102063,2013
COCHIN,181685,171484,160315,185429,212776,175750,172540,236039,246949,246613,272072,267510,2529162,2014
COCHIN,256561,224195,217483,246846,263767,232743,243604,261119,241234,237367,256845,278249,2960013,2015
COCHIN,293945,267191,273043,286164,326345,273932,315940,321929,325624,334232,355452,393596,3767393,2016
COCHIN,386896,327648,307159,342550,339300,356887,367994,387609,378667,403417,409693,473101,4480921,2017
COCHIN,503516,431932,408401,446215,467572,402288,432820,219091,417792,414167,432859,542726,5119379,2018
COCHIN,542525,451789,442148,441879,502750,463318,409772,403181,452375,423261,406863,416618,5356479,2019
NAGPUR,110179,97431,103520,98170,132722,125256,118566,94980,97889,122972,128797,134048,1364530,2011
NAGPUR,117434,105873,100332,109022,117223,114955,91843,82604,78410,84014,78410,121765,1201885,2012
NAGPUR,107654,111900,95780,100534,127872,108870,102550,107264,87915,92269,107416,113478,1263502,2013
NAGPUR,95491,89825,86772,88334,122624,125254,95771,115366,111115,111390,109450,133318,1284710,2014
NAGPUR,120791,113670,109237,114677,135852,130099,116966,116094,114217,120098,133789,147160,1472650,2015
NAGPUR,138082,127809,126120,130391,142720,134879,139719,139055,131674,145910,170061,182399,1708819,2016
NAGPUR,173060,145859,146485,145138,174351,166272,152245,159983,146423,163162,175903,209235,1958116,2017
NAGPUR,201769,183324,202209,212213,215845,203575,209340,210844,214009,216589,250097,268353,2588167,2018
NAGPUR,263607,223071,208696,210777,272484,265401,248035,243228,241207,248988,267770,270099,2963363,2019
