Airports1,Passengers(Jan),Passengers(Feb),Passengers(Mar),Passengers(Apr),Passengers(May),Passengers(Jun),Passengers(Jul),Passengers(Aug),Passengers(Sep),Passengers(Oct),Passengers(Nov),Passengers(Dec),Total,Year
GUWAHATI,174215,148431,167160,169028,206399,190083,208408,173358,166873,208725,181369,205196,2199245,2011
GUWAHATI,195166,159574,162126,192797,185930,186041,185118,136954,127518,164014,167943,198420,2061601,2012
GUWAHATI,185769,162031,162577,181492,186893,187480,198291,175191,146452,202161,174274,209276,2171887,2013
GUWAHATI,190159,159929,160614,181599,175208,179978,186453,165454,181766,193892,175052,194004,2144108,2014
GUWAHATI,187006,184386,201795,216580,217740,221999,222849,240043,206617,226958,218301,248249,2592523,2015
GUWAHATI,241637,237168,248982,257877,272056,269505,293220,268525,291896,330620,327314,382618,3421418,2016
GUWAHATI,382383,330546,352934,369806,381658,364474,386416,372856,382497,392835,378546,406996,4501947,2017
GUWAHATI,398969,373038,428513,449585,456770,447046,484909,420105,427733,503705,490006,552958,5433337,2018
GUWAHATI,544731,456492,480521,467107,490805,490032,500799,445573,410791,488033,486927,443334,5705145,2019
AGARTALA,0,0,0,62917,73401,66129,66916,63326,57547,67408,70734,78405,606783,2012
AGARTALA,69880,52341,62101,59266,59266,68091,72159,73180,61385,76494,65766,75416,795345,2013
AGARTALA,70104,61568,65411,61777,76003,72593,71689,72911,71689,79305,71354,71742,846146,2014
AGARTALA,77795,71349,75770,71104,81541,76150,75726,77079,57925,82442,77289,70497,894667,2015
AGARTALA,85437,79979,86422,86773,97054,93449,96307,90737,97429,102226,97543,118256,1131612,2016
AGARTALA,111539,92584,99970,102567,119259,103408,108106,112502,102326,116220,112308,125352,1306141,2017
AGARTALA,129328,113340,134374,0,138024,131243,133252,126510,105874,113996,101579,116749,1344269,2018
AGARTALA,117423,102773,114345,106262,120895,124156,126496,127288,119518,127378,145071,145363,1476968,2019
PAKYONG,0,0,0,0,0,0,0,0,0,2771,3130,4106,10007,2018
PAKYONG,5754,2085,1117,2363,1386,0,0,0,0,0,0,0,12705,2019
DIMAPUR,0,0,0,6425,8884,9764,9684,7826,7566,9646,10082,12425,82302,2015
DIMAPUR,10790,8738,9926,9802,11262,11894,12389,10591,10060,12241,11957,16477,136127,2016
DIMAPUR,15073,0,12742,14206,15686,15159,13156,16230,15950,15491,15433,17238,166364,2017
DIMAPUR,17006,14267,16568,17536,17478,17285,18325,16041,15185,15012,15030,17079,196812,2018
DIMAPUR,16452,13239,14860,14736,15327,15258,17629,14503,14106,0,15711,20105,171926,2019
DIBRUGARH,19953,18373,18771,18298,20139,19565,20536,18142,17201,19331,18667,19630,228606,2011
DIBRUGARH,20540,19773,20043,21861,19453,19794,20629,17765,16181,19369,19901,20224,235533,2012
DIBRUGARH,19754,16675,19149,19269,21931,20437,21076,20544,17337,20637,19491,20497,236797,2013
DIBRUGARH,20911,19762,24192,29041,26940,26387,27302,22975,24241,28868,24496,31229,306344,2014
DIBRUGARH,28375,24304,25102,27002,28484,26975,28254,23641,22689,26935,27318,28917,317996,2015
DIBRUGARH,26911,25443,27077,24721,25488,24833,26693,23501,20798,25127,26220,28370,305182,2016
DIBRUGARH,28026,25270,26749,27721,28110,28349,29171,27003,25164,28541,28483,28818,331405,2017
DIBRUGARH,29583,26688,29220,29218,29345,28430,29972,27676,29472,30881,30919,33190,354594,2018
DIBRUGARH,33992,31952,32882,38055,37777,39658,47448,40496,39914,52202,50718,48194,493288,2019
SILCHAR,9650,14147,14230,12955,17974,19131,19850,17156,16150,18810,16831,17478,194362,2011
SILCHAR,18146,17635,17201,17972,17827,17666,19389,16912,16424,17415,19725,17953,214265,2012
SILCHAR,19589,18326,19537,0,0,0,0,0,0,0,0,0,57452,2013
SILCHAR,0,0,0,17258,9664,17387,18957,17970,17525,17139,17451,16782,150133,2015
SILCHAR,16960,17019,16743,13538,14285,13478,13832,13377,12659,19851,20861,23201,195804,2016
SILCHAR,22727,21161,23258,24446,25155,25216,30112,30800,31806,30480,29855,35168,330184,2017
SILCHAR,37127,32926,33864,31821,29886,28647,35956,29368,30404,36132,33794,36550,396475,2018
SILCHAR,36843,28413,28851,26277,25890,29157,31542,30124,32259,40988,37636,40689,388669,2019
IMPHAL,50865,46744,55006,50561,54899,63902,61839,65604,66634,62294,62132,64524,705004,2011
IMPHAL,60285,52212,57820,57820,60362,61354,61323,52821,49066,45229,56027,42701,657020,2012
IMPHAL,61469,49877,56181,48855,54717,57143,58881,56711,47863,51356,48038,52622,643713,2013
IMPHAL,50506,46417,54461,47445,55914,57814,48137,38637,51663,50014,51850,48913,601771,2014
IMPHAL,52796,48280,55927,52793,59703,63528,61390,58195,60705,63722,65817,72094,714950,2015
IMPHAL,68722,66398,73732,70453,71246,73284,71444,66581,69690,73477,74358,83246,862631,2016
IMPHAL,79965,73444,78993,77731,82376,80289,87436,80202,76901,83536,85909,86961,973743,2017
IMPHAL,85521,75625,85019,95663,98742,104147,106538,98542,98944,107444,110535,128370,1195090,2018
IMPHAL,121461,95341,111434,105914,116195,114559,121419,112132,103362,115584,107065,104607,1329073,2019
