Year,Jan ,Feb ,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1998,0,0,0,370.1,373.2,388.9,363.9,354.7,357.9,370,367,378.7,3324.4
1999,364.7,344.4,381.2,366.7,374.5,386.3,377.4,377.4,370.9,373.2,396.3,397.1,4510.1
2000,389.9,373.9,400.8,381.8,393.4,398.1,389.8,393.6,388.7,410.3,424.7,412.5,4757.5
2001,442.3,397.7,432,417.6,438.4,438.6,436.7,429.9,438.3,426.8,422.8,437.5,5158.6
2002,422.8,389.7,445.8,406.7,413.6,430.9,426.5,410.7,417.2,416.7,421.8,432.2,5034.6
2003,409.8,386.8,426.7,413.4,433.6,448.3,428,419,428.3,429,433.7,437.7,5094.3
2004,420.5,411.5,441.4,423.1,436,455.5,464.2,451,462.5,463,467.5,475.7,5371.9
2005,464.4,435.1,483.8,471.2,499.2,495.4,478.9,479.4,484.6,485.9,511,504.4,5793.3
2006,516.5,473.5,519.9,508.4,533.2,534,520.3,522.6,519.5,527.6,535.5,528.4,6239.4
2007,539.3,498.6,548.8,539.5,558.2,549.8,557.6,553.4,546.4,560.3,562.9,562.3,6577.1
2008,569.5,539.3,580.2,572.6,582.5,582.3,602.4,599,588.5,593.5,594.7,602.5,7007
2009,598.1,568.1,611,590,612.6,632.2,618.7,619,610,633.3,618.7,631.4,7343.1
2010,619.6,592.7,661.6,624.6,649.8,664.2,660.4,662.1,653.2,667.3,668.4,662.9,7786.8
2011,670.7,634,678.6,657.8,688.8,692.3,692.2,686.5,702.3,695.5,701.8,692,8192.5
2012,700.7,675.3,719.5,686.3,705.8,723.1,729.1,723.5,707.1,725.4,698,721.5,8515.3
2013,725.2,652.2,700,693.78,700.72,700.2,714.7,723.19,714.82,709.17,696.71,699.72,8430.41
2014,702.73,646.79,715.66,684.32,693.12,858.03,663.02,677.37,676.86,664.59,662.27,674.8,8319.56
2015,667.82,622.62,687.37,658,678.04,704.99,697.59,688.42,683.73,678.91,663.21,681.71,8112.41
2016,688,650.18,679.35,658.12,685.35,696.69,698.84,701.02,682.92,672.38,709.66,671.3,8193.81
2017,697.29,645.74,694.48,673.64,707.18,706.22,710.93,686.54,673.43,705.28,677.35,680.8,8258.88
2018,705.01,652,709.12,679.42,698.33,706.73,717.26,718.24,704.06,719.62,698.39,702.13,8410.31
2019,727.47,646.63,712.98,684.24,678.42,710.58,713.51,690.44,691.66,702.91,699.74,693.21,8351.79
