Sr. No.,States/UTs,Total Number of Road Accidents Occurred in States/UTs - 2014,Total Number of Road Accidents Occurred in States/UTs - 2015,Total Number of Road Accidents Occurred in States/UTs - 2016,Total Number of Road Accidents Occurred in States/UTs - 2017,Total Number of Road Accidents Occurred in States/UTs - 2018,Increase in 2018 over 2017,% Increase in 2018 over 2017,Rank of States/UTs in Total Number of Road Accidents - 2014,Rank of States/UTs in Total Number of Road Accidents - 2015,Rank of States/UTs in Total Number of Road Accidents - 2016,Rank of States/UTs in Total Number of Road Accidents - 2017,Rank of States/UTs in Total Number of Road Accidents - 2018
1,Andhra Pradesh,24440,24258,24888,25727,24475,-1252,-4.9,8,7,7,7,7
2,Arunachal Pradesh,205,284,249,241,277,36,14.9,31,29,29,30,30
3,Assam,7144,6959,7435,7170,8248,1078,15,17,17,16,16,16
4,Bihar,9556,9555,8222,8855,9600,745,8.4,15,15,15,15,15
5,Chhattisgarh,13821,14446,13580,13563,13864,301,2.2,11,11,11,11,11
6,Goa,4229,4338,4304,3917,3709,-208,-5.3,21,21,21,21,21
7,Gujarat,23712,23183,21859,19081,18769,-312,-1.6,9,9,10,10,10
8,Haryana,10676,11174,11234,11258,11238,-20,-0.2,13,13,13,13,14
9,Himachal Pradesh,3058,3010,3168,3114,3110,-4,-0.1,22,22,22,22,22
10,Jammu & Kashmir,5861,5836,5501,5624,5978,354,6.3,19,19,19,19,19
11,Jharkhand,5201,5162,4932,5198,5394,196,3.8,20,20,20,20,20
12,Karnataka,43713,44011,44403,42542,41707,-835,-2,4,4,3,3,4
13,Kerala,36282,39014,39420,38470,40181,1711,4.4,5,5,5,5,5
14,Madhya Pradesh,53472,54947,53972,53399,51397,-2002,-3.7,3,3,2,2,2
15,Maharashtra,61627,63805,39878,35853,35717,-136,-0.4,2,2,4,6,6
16,Manipur,743,671,538,578,601,23,4,25,25,27,26,25
17,Meghalaya,542,606,620,675,399,-276,-40.9,27,27,25,25,28
18,Mizoram,132,70,83,68,53,-15,-22.1,33,32,32,34,35
19,Nagaland,305,54,75,531,430,-101,-19,29,35,33,27,27
20,Odisha,9648,10542,10532,10855,11262,407,3.7,14,14,14,14,13
21,Punjab,6391,6702,6952,6273,6428,155,2.5,18,18,18,18,18
22,Rajasthan,24628,24072,23066,22112,21743,-369,-1.7,7,8,8,9,9
23,Sikkim,203,219,210,196,180,-16,-8.2,32,31,31,31,32
24,Tamil Nadu,67250,69059,71431,65562,63920,-1642,-2.5,1,1,1,1,1
25,Telangana,20078,21252,22811,22484,22230,-254,-1.1,10,10,9,8,8
26,Tripura,716,647,557,503,552,49,9.7,26,26,26,28,26
27,Uttarakhand,1410,1523,1591,1603,1468,-135,-8.4,23,24,24,24,24
28,Uttar Pradesh,31034,32385,35612,38783,42568,3785,9.8,6,6,6,4,3
29,West Bengal,12875,13208,13580,11631,12705,1074,9.2,12,12,11,12,12
30,Andaman & Nicobar Islands,218,258,238,189,254,65,34.4,30,30,30,32,31
31,Chandigarh,369,416,428,342,316,-26,-7.6,28,28,28,29,29
32,Dadra & Nagar Haveli,87,69,70,67,80,13,19.4,34,34,35,35,33
33,Daman & Diu,39,70,71,79,76,-3,-3.8,35,32,34,33,34
34,Delhi,8623,8085,7375,6673,6515,-158,-2.4,16,16,17,17,17
35,Lakshadweep,1,3,1,1,3,2,200,36,36,36,36,36
36,Puducherry,1111,1530,1766,1693,1597,-96,-5.7,24,23,23,23,23
Total,Total,489400,501423,480652,464910,467044,2134,0.5,NA,NA,NA,NA,NA
