SourceStationName,State,RailwayZone
ABOHAR,Punjab,NR/Northern
"ABU ROAD",Rajasthan,"NWR/North Western"
ADILABAD,Telangana,"SCR/South Central"
AGARTALA,Tripura,"NFR/Northeast Frontier Railway"
AHMEDABAD,Gujarat,WR/Western
AJNI,Maharashtra,CR/Central
"ALLAHABAD CITY","Uttar Pradesh","NER/North Eastern"
AMBIKAPUR,Chhattisgarh,"SECR/South East Central"
AMRAVATI,Maharashtra,CR/Central
ANDHERI,Maharashtra,WR/Western/Harbour(CR)
ANGUL,Odisha,"ECoR/East Coastal Railway"
ANUPGARH,Rajasthan,"NWR/North Western"
ARA,Bihar,"ECR/East Central"
ASANGAON,Maharashtra,CR/Central
AURANGABAD,Maharashtra,"SCR/South Central"
AVADI,"Tamil Nadu",SR/Southern
AYODHYA,"Uttar Pradesh",NR/Northern
AZAMGARH,"Uttar Pradesh","NER/North Eastern"
BADAMPAHAR,Jharkhand,
BADLAPUR,Maharashtra,CR/Central
BADSHAHNAGAR,"Uttar Pradesh",
BAGALKOT,Karnataka,
BAHRAICH,"Uttar Pradesh",
BAIDYANATHDHAM,Jharkhand,
BALANGIR,Odisha,
BALASORE,Odisha,
BALHARSHAH,Maharashtra,
BALLIA,"Uttar Pradesh",
BALLY,"West Bengal","ER/Eastern Railway"
BANASWADI,Karnataka,"SWR/South Western Railway"
"BANDRA TERMINUS",Maharashtra,WR/Western
BANKURA,"West Bengal","ER/Eastern Railway"
BARABHUM,"West Bengal","ER/Eastern Railway"
BARBIL,Odisha,
BARAMATI,Maharashtra,
BARHNI,"Uttar Pradesh",
BARKAKANA,Jharkhand,
BARMER,Rajasthan,"NWR/North Western Railway"
BARRACKPORE,"West Bengal","ER/Eastern Railway"
BARSUAN,Odisha,
BASTI,"Uttar Pradesh",
BELGAUM,Karnataka,"SWR/South Western Railway"
BETTIAH,Bihar,
BETUL,"Madhya Pradesh",
"BHABUA ROAD",Bihar,"ECR/East Central Railway"
"BHADRACHALAM ROAD",Telangana,
BHAGALPUR,Bihar,
BHAGTANWALA,,
BHILAD,Gujarat,
BHILWARA,Rajasthan,
"BHIMAVARAM TOWN","Andhra Pradesh",
BHIND,"Madhya Pradesh",
BHONGIR,Telangana,
BHUBANESWAR,Odisha,"ECoR/ East Coast Railway"
BIDAR,Karnataka,
BIR,,
BIRMITRAPUR,Odisha,
BISHNUPUR,"West Bengal","ER/Eastern Railway"
BODHAN,Telangana,
BOISAR,Maharashtra,WR/Western
"BOKARO STEEL CITY",Jharkhand,"SER/South Eastern Railway"
BOLARUM,Telangana,
"BUDGE BUDGE","West Bengal","ER/Eastern Railway"
BULANDSHAHR,"Uttar Pradesh",
BUXAR,Bihar,
KANNUR,Kerala,
"CASTLE ROCK",Karnataka,
CHAIBASA,Jharkhand,
CHAKULIA,Jharkhand,
"CHANDIA ROAD","Madhya Pradesh",
CHANDIGARH,Chandigarh,
CHEMBUR,Maharashtra,"Harbour (CR)"
CHENGALPATTU,"Tamil Nadu",
"CHENNAI BEACH","Tamil Nadu",
"CHENNAI EGMORE","Tamil Nadu",
CHIRMIRI,Chhattisgarh,
CHITTOOR,"Andhra Pradesh","SC Railway"
CHOPAN,"Uttar Pradesh",
CHURCHGATE,Maharashtra,WR/Western
CHURU,Rajasthan,
COONOOR,"Tamil Nadu",
CUDDAPAH,"Andhra Pradesh",
"DAHANU ROAD",Maharashtra,WR/Western
DAHOD,Gujarat,
DAKOR,,
DALLI-RAJHARA,Chhattisgarh,
DAMOH,"Madhya Pradesh",
DANAPUR,Bihar,
DANKAUR,,
DARJEELING,"West Bengal",
DELVADA,Gujarat,
DEVLALI,Maharashtra,
DHAMTARI,Chhattisgarh,
DHARMABAD,Maharashtra,
DHARMANAGAR,Tripura,
DHARMAPURI,"Tamil Nadu",SWR
DHARWAD,Karnataka,
DHULE,Maharashtra,
"DIAMOND HARBOUR","West Bengal","ER/Eastern Railway"
DIBRUGARH,Assam,"NFR/Northeast Frontier"
"DIBRUGARH TOWN",Assam,
DIMAPUR,Nagaland,
DOHRIGHAT,,
DOMBIVLI,Maharashtra,CR/Central
DULLABCHERRA,Assam,"NFR/Northeast Frontier"
DUMKA,Jharkhand,
DURG,Chhattisgarh,
DURGAPUR,"West Bengal",
ENNORE,"Tamil Nadu",SR/Southern
ETAH,"Uttar Pradesh",
ETAWAH,"Uttar Pradesh","NCR/North Central Railway"
FATEHPUR,,
FATUHA,Bihar,"ECR(Eastern Central Railway)"
GADWAL,Telangana,"South Central"
GANDHIGRAM,Gujarat,Western
"GANDHINAGAR CAPITAL",Gujarat,Western
GHATSILA,Jharkhand,
"GHAZIPUR CITY","Uttar Pradesh","North Eastern"
GULBARGA,Karnataka,Central
GUMMIDIPUNDI,"Tamil Nadu",
GURAP,"West Bengal",
GUWAHATI,Assam,"Northeast Frontier"
