States,2009,2010,2011,2012,2013,2014,2015,2016,Total,Types,StateCode
AndhraPradesh,53820,56664,60622,70075,73787,35843,38269,41187,430267,Buses,AP
ArunachalPradesh,682,682,0,0,0,0,0,8630,9994,Buses,AR
Assam,13257,13859,14741,15787,18982,18355,19846,22315,137142,Buses,AS
Bihar,19654,21209,22703,24097,25992,27638,29384,31075,201752,Buses,BR
Chhatisgarh,41098,7658,8596,12049,13071,48501,52783,58026,241782,Buses,CT
Goa,7644,8332,8907,9513,9956,10925,11224,11503,78004,Buses,GA
Gujarat,58253,60023,62386,67546,70615,72998,76435,82734,550990,Buses,GU
Haryana,29516,33520,35646,39153,42800,45893,50207,53348,330083,Buses,HR
HimachalPradesh,5398,5714,6186,14592,13510,13507,14358,18137,91402,Buses,HP
Jammu&Kashmir,24051,23480,25858,25765,26888,27947,29695,30646,214330,Buses,JK
Jharkhand,11699,12256,12847,13561,14329,7950,8323,71981,152946,Buses,JH
Karnataka,44308,53874,58012,62501,69718,75529,80911,86544,531397,Buses,KA
Kerala,430162,383229,390430,396826,404153,409961,414748,111835,2941344,Buses,KL
MadhyaPradesh,31520,35105,36647,40551,40633,42636,45976,46945,320013,Buses,MP
Maharashtra,79073,83816,89861,100097,110121,120886,120750,131183,835787,Buses,MH
Manipur,2727,2769,2776,2868,3732,3768,3807,3825,26272,Buses,MN
Meghalaya,3905,4007,4116,4323,4945,5019,5120,5398,36833,Buses,ML
Mizoram,1003,1036,1088,1141,1187,1208,1231,1268,9162,Buses,MZ
Nagaland,4694,5041,5573,5542,5750,5393,5436,5784,43213,Buses,NL
Orissa,18464,19335,20616,21917,23004,24107,25001,26150,178594,Buses,OR
Punjab,25682,27146,27146,30160,30160,30160,30160,41908,242522,Buses,PB
Rajasthan,69298,73257,77980,83345,88616,93892,97650,102818,686856,Buses,RJ
Sikkim,294,524,586,613,633,236,272,336,3494,Buses,SK
TamilNadu,114671,123999,134887,144251,156470,165176,171581,179021,1190056,Buses,TN
Tripura,2223,2194,2295,2312,2291,1920,2484,2749,18468,Buses,TR
UttaraKhand,4032,7527,8066,8504,8997,9962,10716,7736,65540,Buses,UT
UttarPradesh,26331,28124,31922,34428,40501,45607,51866,57939,316718,Buses,UP
WestBengal,35023,31996,34184,35603,51660,53899,56878,44771,344014,Buses,WB
A.&N.Islands,811,825,846,903,958,1007,1039,1074,7463,Buses,AN
Chandigarh,2375,3062,3684,5170,2265,2326,2561,2729,24172,Buses,CH
D.&N.Haveli,278,295,314,321,352,678,714,549,3501,Buses,DN
Daman&Diu,451,461,474,512,543,551,566,0,3558,Buses,DN
Delhi,41142,43250,45757,20142,19912,19590,19695,43723,253211,Buses,DL
Lakshadweep,19,0,0,0,0,37,37,0,93,Buses,LD
Puducherry,2235,2373,2493,2596,3987,4098,4251,3403,25436,Buses,PY
AndhraPradesh,9554,103290,114923,129322,125962,69181,73324,77538,,Taxis,AP
ArunachalPradesh,343,343,0,0,0,0,0,456,,Taxis,AR
Assam,19680,24088,28161,33999,42827,49897,53859,56356,,Taxis,AS
Bihar,30857,38204,43623,52218,66564,78325,85119,91311,,Taxis,BR
Chhatisgarh,6589,7499,8723,13515,15247,18451,20960,22265,,Taxis,CT
Goa,12768,13143,13306,14338,15427,16549,17616,18429,,Taxis,GA
Gujarat,62915,67740,74512,83038,92455,99573,108268,115450,,Taxis,GU
Haryana,14791,15081,19978,23793,27946,33982,40444,52756,,Taxis,HR
HimachalPradesh,20582,21993,23791,25030,33043,34012,34796,34706,,Taxis,HP
Jammu&Kashmir,18971,15939,21307,25577,31285,34588,37092,39135,,Taxis,JK
Jharkhand,41828,259542,296771,333420,252268,27105,30031,22449,,Taxis,JH
Karnataka,147489,115410,129272,142700,162894,181227,205174,245570,,Taxis,KA
Kerala,75313,84792,96666,108877,121825,139209,150361,107567,,Taxis,KL
MadhyaPradesh,94199,99241,110730,122969,140260,155950,174916,58751,,Taxis,MP
Maharashtra,157916,168307,168496,175797,184066,188787,163390,237006,,Taxis,MH
Manipur,412,1595,1896,2567,2956,3081,6484,8252,,Taxis,MN
Meghalaya,11352,12607,14507,16205,18133,20106,21504,22804,,Taxis,ML
Mizoram,5992,6465,7246,8183,9225,10406,10720,11032,,Taxis,MZ
Nagaland,5921,6428,6716,6970,7437,7744,8163,8714,,Taxis,NL
Orissa,38716,41828,44585,56464,68641,79402,91902,102803,,Taxis,OR
Punjab,14314,15837,15837,18539,18539,18539,18539,7627,,Taxis,PB
Rajasthan,60941,67542,76317,89053,103690,114695,123275,131912,,Taxis,RJ
Sikkim,7108,7569,8011,8816,9378,11708,12458,13234,,Taxis,SK
TamilNadu,188795,209689,243425,278005,307079,329639,349029,373522,,Taxis,TN
Tripura,1380,3199,3468,3530,2286,11900,12076,12296,,Taxis,TR
UttaraKhand,17058,18660,20896,25415,28536,32029,32830,39824,,Taxis,UT
UttarPradesh,34107,38629,47364,59379,89393,92399,98303,104931,,Taxis,UP
WestBengal,66240,73696,80012,84591,105542,115616,125162,127038,,Taxis,WB
A.&N.Islands,489,489,489,489,489,489,489,489,,Taxis,AN
Chandigarh,2810,3017,3275,3491,3519,3683,3908,1847,,Taxis,CH
D.&N.Haveli,133,142,146,151,154,157,165,16,,Taxis,DN
Daman&Diu,44,45,46,49,55,65,66,70,,Taxis,DN
Delhi,50351,55530,62839,62335,63082,55543,62405,91073,,Taxis,DL
Lakshadweep,0,105,140,207,262,364,435,329,,Taxis,LD
Puducherry,1847,1892,1943,1990,762,850,1060,2329,,Taxis,PY
AndhraPradesh,381488,434448,513266,576480,546813,351396,397126,444295,,Light Motor Vehicles(Passengers),AP
ArunachalPradesh,1449,1449,0,0,0,0,0,8412,,Light Motor Vehicles(Passengers),AR
Assam,45266,51185,59742,67921,71633,82263,91936,100019,,Light Motor Vehicles(Passengers),AS
Bihar,0,74968,92390,113088,141174,173329,202385,235933,,Light Motor Vehicles(Passengers),BR
Chhatisgarh,13589,15047,17566,17913,21890,28778,33100,36696,,Light Motor Vehicles(Passengers),CT
Goa,14863,4238,4309,3853,3955,4084,4186,4304,,Light Motor Vehicles(Passengers),GA
Gujarat,426616,464862,511270,561740,605194,637896,678364,718334,,Light Motor Vehicles(Passengers),GU
Haryana,73134,83745,94770,103995,114465,127652,144334,164490,,Light Motor Vehicles(Passengers),HR
HimachalPradesh,2744,2771,2805,3963,5557,5753,5907,4821,,Light Motor Vehicles(Passengers),HP
Jammu&Kashmir,19673,10958,12420,13759,16407,17592,19777,20744,,Light Motor Vehicles(Passengers),JK
Jharkhand,0,160778,180934,202638,227414,55451,63743,98924,,Light Motor Vehicles(Passengers),JH
Karnataka,247077,237295,259429,285408,320482,349144,380790,414661,,Light Motor Vehicles(Passengers),KA
Kerala,448649,491879,544485,601507,666808,703646,731417,610235,,Light Motor Vehicles(Passengers),KL
MadhyaPradesh,60751,67488,76207,86068,96817,108345,122095,124987,,Light Motor Vehicles(Passengers),MP
Maharashtra,598013,626332,640700,640040,655299,658977,695619,703030,,Light Motor Vehicles(Passengers),MH
