States,2009,2010,2011,2012,2013,2014,2015,2016,Total,Types
AndhraPradesh,5851893,6514593,7488771,9291132,9592270,5431832,6147523,6824016,57142030,Two-Wheeler
ArunachalPradesh,11112,11112,0,0,0,0,0,127225,149449,Two-Wheeler
Assam,740420,830836,958935,1101265,1230895,1294932,1520260,1744543,9422086,Two-Wheeler
Bihar,1364757,1606613,1899017,2230069,2592137,3012463,3489796,4038839,20233691,Two-Wheeler
Chhatisgarh,1686424,1964769,2232929,2503781,2768727,3113607,3471643,3878833,21620713,Two-Wheeler
Goa,467827,502042,541934,589377,639594,690326,743037,796495,4970632,Two-Wheeler
Gujarat,8087416,8716981,9507556,10512304,11500292,12502698,13704879,14919493,89451619,Two-Wheeler
Haryana,2768197,2975418,3370426,3755349,4146906,4541932,4988518,5453960,32000706,Two-Wheeler
HimachalPradesh,249994,283081,331418,384832,433890,484335,545152,606485,3319187,Two-Wheeler
Jammu&Kashmir,363029,407928,446791,480815,530594,588207,644458,706746,4168568,Two-Wheeler
Jharkhand,1570575,1738566,1947572,1851060,2041835,1246024,1522228,1644121,13561981,Two-Wheeler
Karnataka,4796587,6404905,7033045,7737366,8575104,9533892,10644368,11768570,66493837,Two-Wheeler
Kerala,2612341,2900238,3294953,3811343,4464849,5096261,5722224,6472302,34374511,Two-Wheeler
MadhyaPradesh,4691218,5165023,5783120,6411155,6877681,7668303,8831709,8701207,54129416,Two-Wheeler
Maharashtra,10212360,11181762,12429011,13921763,15457123,16910395,18603835,20355825,119072074,Two-Wheeler
Manipur,105465,139650,145286,148942,212917,306901,207540,211104,1477805,Two-Wheeler
Meghalaya,45747,51709,56790,65712,73092,78021,85996,94843,551910,Two-Wheeler
Mizoram,32267,39902,47978,60278,70449,80729,90122,100270,521995,Two-Wheeler
Nagaland,52119,55208,61085,61546,66353,70873,75158,81482,523824,Two-Wheeler
Orissa,2052980,2302694,2614980,2946118,3311553,3706387,4126257,4628604,25689573,Two-Wheeler
Punjab,3581837,3956279,3956279,4729594,4729594,4729594,4729594,6863421,37276192,Two-Wheeler
Rajasthan,4715835,5230454,5859719,6629743,7465863,8331142,9272233,10258009,57762998,Two-Wheeler
Sikkim,5956,6308,6843,7447,3808,3037,3633,4237,41269,Two-Wheeler
TamilNadu,10223233,11156048,12393788,13846378,15336823,16701588,18097975,19507083,117262916,Two-Wheeler
Tripura,85455,97895,117486,129343,158533,182809,200721,228096,1200338,Two-Wheeler
UttaraKhand,570359,583927,708595,897651,1064349,1194941,1336114,1362282,7718218,Two-Wheeler
UttarPradesh,8521198,9493677,10563850,12410064,13724495,15395363,17398458,19258791,106765896,Two-Wheeler
WestBengal,2017198,1864861,2260657,2717713,4257670,4754724,5280246,4796698,27949767,Two-Wheeler
A.&N.Islands,42386,43762,48819,54220,60354,66520,72800,79098,467959,Two-Wheeler
Chandigarh,511568,686316,711007,737263,760327,368308,395565,0,4170354,Two-Wheeler
D.&N.Haveli,35059,38635,43010,48550,54244,60643,66874,71038,418053,Two-Wheeler
Daman&Diu,42861,43991,47247,52339,56893,61089,64140,67789,436349,Two-Wheeler
Delhi,3846721,4107912,4395086,4661714,4980507,5322128,5698242,6104070,39116380,Two-Wheeler
Lakshadweep,5639,6206,6888,7698,8561,10071,10943,13093,69099,Two-Wheeler
Puducherry,434072,488490,553711,625251,600278,644651,689568,742466,4778487,Two-Wheeler
AndhraPradesh,701920,777746,880817,1058184,1077849,403383,454054,499884,5853837,Cars
ArunachalPradesh,2595,2595,0,0,0,0,0,87796,92986,Cars
Assam,203000,232546,269605,311917,383729,472273,508135,509475,2890680,Cars
Bihar,103077,188031,136845,160340,184792,208205,235762,266512,1483564,Cars
Chhatisgarh,92437,108326,131862,154529,175606,200726,226044,254921,1344451,Cars
Goa,120425,133717,149869,167544,184631,199647,216414,232767,1405014,Cars
Gujarat,952400,1057383,1218030,1411898,1602129,1771298,2008748,2260084,12281970,Cars
Haryana,618942,720441,855596,989519,1134616,1278272,1420621,1711692,8729699,Cars
HimachalPradesh,80224,95791,116176,171382,187734,215546,245106,278096,1390055,Cars
Jammu&Kashmir,145060,172071,198238,230328,265024,301449,338475,379571,2030216,Cars
Jharkhand,154803,174320,201269,227386,239655,166313,191006,252472,1607224,Cars
Karnataka,892160,1005291,1131201,1269430,1420767,1572521,1741831,1916373,10949574,Cars
Kerala,692628,826538,985736,1151566,1331253,1515955,1690690,2070635,10265001,Cars
MadhyaPradesh,272009,314464,366674,424644,493412,555461,637626,820391,3884681,Cars
