dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
01-01-2000,27.031,0.338,Andaman And Nicobar,India
01-02-2000,27.065,0.486,Andaman And Nicobar,India
01-03-2000,27.623,0.588,Andaman And Nicobar,India
01-04-2000,28.072,1.11,Andaman And Nicobar,India
01-05-2000,28.421,0.286,Andaman And Nicobar,India
01-06-2000,27.785,0.398,Andaman And Nicobar,India
01-07-2000,28.163,0.586,Andaman And Nicobar,India
01-08-2000,27.806,0.273,Andaman And Nicobar,India
01-09-2000,27.717,0.295,Andaman And Nicobar,India
01-10-2000,27.278,0.411,Andaman And Nicobar,India
01-11-2000,27.711,1.015,Andaman And Nicobar,India
01-12-2000,27.481,0.4,Andaman And Nicobar,India
01-01-2001,27.106,0.357,Andaman And Nicobar,India
01-02-2001,27.188,0.471,Andaman And Nicobar,India
01-03-2001,28.039,0.256,Andaman And Nicobar,India
01-04-2001,29.281,0.483,Andaman And Nicobar,India
01-05-2001,28.466,1.165,Andaman And Nicobar,India
01-06-2001,28.265,0.324,Andaman And Nicobar,India
01-07-2001,28.285,0.449,Andaman And Nicobar,India
01-08-2001,28.15,0.595,Andaman And Nicobar,India
01-09-2001,27.81,0.304,Andaman And Nicobar,India
01-10-2001,27.346,0.22,Andaman And Nicobar,India
01-11-2001,27.358,0.511,Andaman And Nicobar,India
01-12-2001,27.349,0.425,Andaman And Nicobar,India
01-01-2002,27.087,0.284,Andaman And Nicobar,India
01-02-2002,27.403,0.709,Andaman And Nicobar,India
01-03-2002,28.188,0.722,Andaman And Nicobar,India
01-04-2002,28.867,0.373,Andaman And Nicobar,India
01-05-2002,28.734,0.747,Andaman And Nicobar,India
01-06-2002,28.407,0.29,Andaman And Nicobar,India
01-07-2002,28.51,0.845,Andaman And Nicobar,India
01-08-2002,27.854,0.438,Andaman And Nicobar,India
01-09-2002,27.623,0.719,Andaman And Nicobar,India
01-10-2002,27.471,0.383,Andaman And Nicobar,India
01-11-2002,27.543,0.434,Andaman And Nicobar,India
01-12-2002,27.437,0.619,Andaman And Nicobar,India
01-01-2003,26.817,0.155,Andaman And Nicobar,India
01-02-2003,27.519,0.235,Andaman And Nicobar,India
01-03-2003,27.975,0.284,Andaman And Nicobar,India
01-04-2003,28.908,0.522,Andaman And Nicobar,India
01-05-2003,29.119,0.521,Andaman And Nicobar,India
01-06-2003,28.558,0.72,Andaman And Nicobar,India
01-07-2003,27.725,0.322,Andaman And Nicobar,India
01-08-2003,28.096,0.281,Andaman And Nicobar,India
01-09-2003,27.638,0.512,Andaman And Nicobar,India
01-10-2003,27.345,0.26,Andaman And Nicobar,India
01-11-2003,28.213,0.434,Andaman And Nicobar,India
01-12-2003,27.405,0.313,Andaman And Nicobar,India
01-01-2004,27.67,0.386,Andaman And Nicobar,India
01-02-2004,27.05,0.465,Andaman And Nicobar,India
01-03-2004,28.007,0.327,Andaman And Nicobar,India
01-04-2004,29.283,0.295,Andaman And Nicobar,India
01-05-2004,28.495,0.355,Andaman And Nicobar,India
01-06-2004,28.087,0.473,Andaman And Nicobar,India
01-07-2004,27.709,0.587,Andaman And Nicobar,India
01-08-2004,28.169,0.468,Andaman And Nicobar,India
01-09-2004,27.541,0.617,Andaman And Nicobar,India
01-10-2004,27.584,0.445,Andaman And Nicobar,India
01-11-2004,28.109,0.16,Andaman And Nicobar,India
01-12-2004,27.242,0.659,Andaman And Nicobar,India
01-01-2005,27.334,0.542,Andaman And Nicobar,India
01-02-2005,27.756,0.247,Andaman And Nicobar,India
01-03-2005,28.484,0.271,Andaman And Nicobar,India
01-04-2005,29.473,0.443,Andaman And Nicobar,India
01-05-2005,29.155,0.318,Andaman And Nicobar,India
01-06-2005,28.461,0.541,Andaman And Nicobar,India
01-07-2005,28.168,0.225,Andaman And Nicobar,India
01-08-2005,28.237,0.399,Andaman And Nicobar,India
01-09-2005,27.692,0.322,Andaman And Nicobar,India
01-10-2005,27.5,0.325,Andaman And Nicobar,India
01-11-2005,27.645,0.264,Andaman And Nicobar,India
01-12-2005,27.212,0.34,Andaman And Nicobar,India
01-01-2006,27.11,0.386,Andaman And Nicobar,India
01-02-2006,27.785,0.686,Andaman And Nicobar,India
01-03-2006,28.24,0.687,Andaman And Nicobar,India
01-04-2006,28.596,1.001,Andaman And Nicobar,India
01-05-2006,28.271,0.462,Andaman And Nicobar,India
01-06-2006,28.052,0.332,Andaman And Nicobar,India
01-07-2006,28.451,0.503,Andaman And Nicobar,India
01-08-2006,27.957,0.402,Andaman And Nicobar,India
01-09-2006,27.346,0.545,Andaman And Nicobar,India
01-10-2006,27.471,0.316,Andaman And Nicobar,India
01-11-2006,28.042,0.234,Andaman And Nicobar,India
01-12-2006,27.393,0.254,Andaman And Nicobar,India
01-01-2007,27.057,0.29,Andaman And Nicobar,India
01-02-2007,27.152,0.29,Andaman And Nicobar,India
01-03-2007,27.618,0.813,Andaman And Nicobar,India
01-04-2007,28.949,0.346,Andaman And Nicobar,India
01-05-2007,28.484,0.205,Andaman And Nicobar,India
01-06-2007,28.452,0.318,Andaman And Nicobar,India
01-07-2007,28.174,0.561,Andaman And Nicobar,India
01-08-2007,28.066,0.246,Andaman And Nicobar,India
01-09-2007,27.509,0.331,Andaman And Nicobar,India
01-10-2007,27.155,0.182,Andaman And Nicobar,India
01-11-2007,27.463,0.341,Andaman And Nicobar,India
01-12-2007,27.23,0.292,Andaman And Nicobar,India
01-01-2008,27.423,0.239,Andaman And Nicobar,India
01-02-2008,27.572,0.211,Andaman And Nicobar,India
01-03-2008,27.772,0.263,Andaman And Nicobar,India
01-04-2008,28.245,0.666,Andaman And Nicobar,India
01-05-2008,28.033,0.602,Andaman And Nicobar,India
01-06-2008,28.02,0.273,Andaman And Nicobar,India
01-07-2008,27.744,0.293,Andaman And Nicobar,India
01-08-2008,27.942,0.608,Andaman And Nicobar,India
01-09-2008,27.741,0.314,Andaman And Nicobar,India
01-10-2008,27.796,0.34,Andaman And Nicobar,India
01-11-2008,27.861,0.396,Andaman And Nicobar,India
01-12-2008,27.283,0.414,Andaman And Nicobar,India
01-01-2009,26.81,0.582,Andaman And Nicobar,India
01-02-2009,27.154,0.225,Andaman And Nicobar,India
01-03-2009,28.101,0.7,Andaman And Nicobar,India
01-04-2009,28.957,0.379,Andaman And Nicobar,India
01-05-2009,28.798,0.625,Andaman And Nicobar,India
01-06-2009,28.358,0.477,Andaman And Nicobar,India
01-07-2009,28.488,0.517,Andaman And Nicobar,India
01-08-2009,28.489,0.44,Andaman And Nicobar,India
01-09-2009,28.213,0.349,Andaman And Nicobar,India
01-10-2009,27.988,0.182,Andaman And Nicobar,India
01-11-2009,28.472,0.484,Andaman And Nicobar,India
01-12-2009,28.019,0.676,Andaman And Nicobar,India
01-01-2010,27.677,0.349,Andaman And Nicobar,India
01-02-2010,27.926,0.242,Andaman And Nicobar,India
01-03-2010,28.764,0.457,Andaman And Nicobar,India
01-04-2010,30.123,0.62,Andaman And Nicobar,India
01-05-2010,30.228,0.287,Andaman And Nicobar,India
01-06-2010,28.931,0.348,Andaman And Nicobar,India
01-07-2010,28.266,0.584,Andaman And Nicobar,India
01-08-2010,28.38,0.453,Andaman And Nicobar,India
01-09-2010,28.304,0.262,Andaman And Nicobar,India
01-10-2010,27.767,0.28,Andaman And Nicobar,India
01-11-2010,28.067,0.202,Andaman And Nicobar,India
01-12-2010,27.445,0.284,Andaman And Nicobar,India
01-01-2011,27.156,0.823,Andaman And Nicobar,India
01-02-2011,27.276,0.344,Andaman And Nicobar,India
01-03-2011,27.374,0.238,Andaman And Nicobar,India
01-04-2011,28.788,0.581,Andaman And Nicobar,India
01-05-2011,29.025,0.484,Andaman And Nicobar,India
01-06-2011,28.743,0.336,Andaman And Nicobar,India
01-07-2011,28.041,0.399,Andaman And Nicobar,India
01-08-2011,28.03,0.357,Andaman And Nicobar,India
01-09-2011,27.551,0.565,Andaman And Nicobar,India
01-10-2011,27.559,0.38,Andaman And Nicobar,India
01-11-2011,28.332,0.769,Andaman And Nicobar,India
01-12-2011,27.843,0.424,Andaman And Nicobar,India
01-01-2012,27.198,0.384,Andaman And Nicobar,India
01-02-2012,27.409,0.34,Andaman And Nicobar,India
01-03-2012,28.274,0.296,Andaman And Nicobar,India
01-04-2012,29.385,0.357,Andaman And Nicobar,India
01-05-2012,29.033,0.272,Andaman And Nicobar,India
01-06-2012,28.823,0.476,Andaman And Nicobar,India
01-07-2012,28.507,0.914,Andaman And Nicobar,India
01-08-2012,28.464,0.293,Andaman And Nicobar,India
01-09-2012,27.842,0.894,Andaman And Nicobar,India
01-10-2012,27.613,0.85,Andaman And Nicobar,India
01-11-2012,28.45,0.54,Andaman And Nicobar,India
01-12-2012,28.015,0.305,Andaman And Nicobar,India
01-01-2013,27.644,0.294,Andaman And Nicobar,India
01-02-2013,28.1,1.587,Andaman And Nicobar,India
01-03-2013,28.594,0.341,Andaman And Nicobar,India
01-04-2013,29.445,0.448,Andaman And Nicobar,India
01-05-2013,29.518,0.336,Andaman And Nicobar,India
01-06-2013,28.37,0.422,Andaman And Nicobar,India
01-07-2013,27.967,0.432,Andaman And Nicobar,India
01-08-2013,28.409,0.439,Andaman And Nicobar,India
01-01-2000,23.721,0.23,Andhra Pradesh,India
01-02-2000,25.826,0.324,Andhra Pradesh,India
01-03-2000,28.618,0.322,Andhra Pradesh,India
01-04-2000,32.26,0.285,Andhra Pradesh,India
01-05-2000,32.539,0.258,Andhra Pradesh,India
01-06-2000,29.131,0.601,Andhra Pradesh,India
01-07-2000,27.911,0.551,Andhra Pradesh,India
01-08-2000,27.348,0.656,Andhra Pradesh,India
01-09-2000,28.093,0.17,Andhra Pradesh,India
01-10-2000,27.314,0.284,Andhra Pradesh,India
01-11-2000,25.13,0.197,Andhra Pradesh,India
01-12-2000,22.216,0.277,Andhra Pradesh,India
01-01-2001,23.408,0.233,Andhra Pradesh,India
01-02-2001,26.557,0.244,Andhra Pradesh,India
01-03-2001,29.292,0.216,Andhra Pradesh,India
01-04-2001,30.923,0.125,Andhra Pradesh,India
01-05-2001,33.604,0.317,Andhra Pradesh,India
01-06-2001,29.87,0.292,Andhra Pradesh,India
01-07-2001,28.851,0.204,Andhra Pradesh,India
01-08-2001,27.498,0.19,Andhra Pradesh,India
01-09-2001,28.43,0.337,Andhra Pradesh,India
01-10-2001,26.67,0.206,Andhra Pradesh,India
01-11-2001,25.458,0.258,Andhra Pradesh,India
01-12-2001,22.85,0.316,Andhra Pradesh,India
01-01-2002,23.424,0.306,Andhra Pradesh,India
01-02-2002,25.884,0.27,Andhra Pradesh,India
