Jan2006,Feb2006,Mar2006,Apr2006,May2006,Jun2006,Jul2006,Aug2006,Sept2006,Oct2006,Nov2006,Dec2006,Jan2007,Feb2007,Mar2007,Apr2007,May2007,Jun2007,Jul2007,Aug2007,Sept2007,Oct2007,Nov2007,Dec2007,Jan2008,Feb2008,Mar2008,Apr2008,May2008,Jun2008,Jul2008,Aug2008,Sept2008,Oct2008,Nov2008,Dec2008,Jan2009,Feb2009,Mar2009,Apr2009,May2009,Jun2009,Jul2009,Aug2009,Sept2009,Oct2009,Nov2009,Dec2009,Jan2010,Feb2010,Mar2010,Apr2010,May2010,Jun2010,Jul2010,Aug2010,Sept2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,Apr2011,May2011,Jun2011,Jul2011,Aug2011,Sept2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,Apr2012,May2012,Jun2012,Jul2012,Aug2012,Sept2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,Apr2013,May2013,Jun2013,Jul2013,Aug2013,Sept2013,Oct2013,Nov2013,Dec2013,County Councils
70.0,81.0,113.0,56.0,97.0,125.0,158.0,141.0,96.0,142.0,182.0,60.0,52.0,142.0,126.0,101.0,176.0,97.0,89.0,61.0,72.0,59.0,62.0,106.0,44.0,61.0,38.0,94.0,39.0,51.0,43.0,71.0,33.0,49.0,72.0,40.0,19.0,36.0,50.0,45.0,31.0,55.0,26.0,20.0,29.0,53.0,35.0,24.0,16.0,13.0,12.0,18.0,17.0,8.0,9.0,13.0,18.0,29.0,50.0,27.0,10.0,10.0,6.0,8.0,6.0,23.0,41.0,17.0,9.0,29.0,17.0,13.0,7.0,12.0,8.0,9.0,10.0,10.0,15.0,8.0,7.0,10.0,13.0,7.0,6.0,10.0,11.0,10.0,8.0,26.0,21.0,5.0,28.0,14.0,14.0,16.0,Carlow
149.0,208.0,197.0,261.0,201.0,248.0,308.0,199.0,237.0,203.0,259.0,219.0,176.0,118.0,170.0,142.0,260.0,153.0,86.0,227.0,214.0,162.0,181.0,219.0,124.0,90.0,111.0,75.0,62.0,92.0,129.0,67.0,90.0,62.0,86.0,74.0,65.0,45.0,38.0,38.0,44.0,39.0,42.0,37.0,63.0,58.0,30.0,62.0,19.0,33.0,26.0,20.0,28.0,36.0,14.0,11.0,24.0,19.0,41.0,25.0,32.0,17.0,40.0,19.0,18.0,19.0,20.0,28.0,24.0,13.0,28.0,14.0,9.0,12.0,16.0,9.0,15.0,19.0,16.0,18.0,15.0,22.0,24.0,18.0,11.0,19.0,15.0,17.0,13.0,10.0,15.0,16.0,11.0,11.0,14.0,21.0,Cavan
171.0,251.0,264.0,200.0,242.0,324.0,195.0,164.0,155.0,252.0,296.0,213.0,122.0,237.0,197.0,192.0,188.0,159.0,163.0,151.0,161.0,255.0,258.0,203.0,100.0,152.0,94.0,128.0,97.0,95.0,149.0,81.0,155.0,102.0,144.0,96.0,95.0,82.0,99.0,53.0,54.0,43.0,77.0,43.0,43.0,53.0,67.0,56.0,21.0,49.0,57.0,117.0,100.0,34.0,31.0,40.0,29.0,32.0,40.0,42.0,19.0,28.0,27.0,16.0,26.0,24.0,23.0,20.0,25.0,32.0,32.0,22.0,37.0,20.0,14.0,12.0,22.0,21.0,14.0,27.0,21.0,23.0,24.0,21.0,12.0,12.0,22.0,21.0,22.0,15.0,19.0,14.0,13.0,19.0,26.0,20.0,Clare
627.0,637.0,769.0,585.0,864.0,712.0,759.0,733.0,726.0,913.0,1008.0,808.0,656.0,769.0,968.0,696.0,741.0,734.0,501.0,608.0,626.0,783.0,818.0,786.0,465.0,544.0,531.0,435.0,524.0,671.0,507.0,619.0,444.0,438.0,477.0,437.0,303.0,346.0,291.0,292.0,329.0,271.0,307.0,165.0,292.0,196.0,273.0,242.0,112.0,136.0,213.0,160.0,183.0,151.0,194.0,161.0,154.0,118.0,202.0,156.0,131.0,100.0,161.0,113.0,110.0,100.0,114.0,125.0,126.0,115.0,144.0,120.0,74.0,84.0,96.0,76.0,148.0,82.0,110.0,136.0,108.0,85.0,116.0,98.0,54.0,75.0,69.0,105.0,93.0,116.0,100.0,84.0,86.0,124.0,112.0,83.0,Cork
285.0,450.0,342.0,217.0,365.0,439.0,350.0,276.0,328.0,475.0,503.0,357.0,344.0,370.0,321.0,380.0,295.0,400.0,264.0,284.0,423.0,358.0,372.0,353.0,155.0,297.0,225.0,239.0,313.0,174.0,172.0,132.0,272.0,195.0,200.0,202.0,126.0,186.0,132.0,122.0,143.0,146.0,150.0,91.0,159.0,100.0,156.0,178.0,57.0,64.0,91.0,60.0,59.0,54.0,70.0,48.0,70.0,52.0,105.0,95.0,41.0,56.0,62.0,48.0,55.0,82.0,50.0,42.0,42.0,49.0,45.0,38.0,57.0,60.0,42.0,34.0,37.0,40.0,45.0,50.0,36.0,34.0,33.0,43.0,17.0,41.0,34.0,29.0,40.0,31.0,29.0,33.0,35.0,42.0,41.0,28.0,Donegal
757.0,618.0,560.0,225.0,496.0,717.0,685.0,783.0,847.0,690.0,755.0,613.0,446.0,562.0,677.0,273.0,674.0,418.0,454.0,606.0,491.0,832.0,849.0,396.0,402.0,451.0,520.0,402.0,554.0,489.0,470.0,387.0,533.0,350.0,614.0,176.0,150.0,370.0,136.0,299.0,118.0,168.0,220.0,296.0,113.0,260.0,136.0,129.0,119.0,113.0,80.0,56.0,74.0,56.0,55.0,25.0,59.0,68.0,151.0,55.0,82.0,32.0,60.0,47.0,75.0,46.0,25.0,21.0,23.0,46.0,48.0,52.0,53.0,15.0,47.0,24.0,48.0,16.0,31.0,80.0,38.0,31.0,71.0,53.0,34.0,47.0,26.0,40.0,19.0,106.0,50.0,34.0,28.0,38.0,34.0,46.0,Dublin
241.0,172.0,260.0,138.0,251.0,278.0,134.0,329.0,155.0,148.0,162.0,204.0,217.0,257.0,100.0,204.0,221.0,273.0,204.0,269.0,422.0,282.0,291.0,312.0,335.0,230.0,86.0,235.0,185.0,262.0,168.0,168.0,115.0,127.0,76.0,100.0,253.0,102.0,55.0,77.0,53.0,40.0,40.0,13.0,80.0,80.0,100.0,59.0,51.0,29.0,12.0,24.0,18.0,15.0,13.0,38.0,83.0,76.0,10.0,15.0,16.0,15.0,36.0,34.0,30.0,16.0,3.0,8.0,6.0,5.0,12.0,11.0,2.0,9.0,6.0,7.0,7.0,6.0,10.0,8.0,15.0,18.0,34.0,53.0,6.0,18.0,9.0,9.0,6.0,13.0,10.0,17.0,13.0,49.0,56.0,54.0,Dun Laoghaire
305.0,566.0,550.0,481.0,484.0,399.0,488.0,385.0,560.0,479.0,623.0,543.0,311.0,450.0,541.0,449.0,351.0,446.0,345.0,329.0,419.0,414.0,426.0,244.0,204.0,205.0,82.0,192.0,189.0,129.0,131.0,153.0,190.0,274.0,187.0,213.0,111.0,147.0,128.0,91.0,89.0,113.0,186.0,68.0,104.0,99.0,82.0,91.0,75.0,36.0,67.0,20.0,41.0,28.0,28.0,49.0,40.0,65.0,58.0,33.0,21.0,93.0,69.0,110.0,27.0,56.0,30.0,69.0,73.0,44.0,40.0,30.0,22.0,23.0,35.0,17.0,22.0,48.0,35.0,27.0,17.0,25.0,47.0,46.0,17.0,30.0,32.0,21.0,44.0,22.0,55.0,14.0,30.0,33.0,54.0,43.0,Fingal
392.0,511.0,457.0,420.0,506.0,443.0,518.0,329.0,609.0,494.0,579.0,529.0,450.0,501.0,405.0,288.0,364.0,345.0,314.0,270.0,274.0,484.0,511.0,375.0,201.0,235.0,206.0,277.0,209.0,186.0,225.0,238.0,355.0,217.0,255.0,273.0,158.0,138.0,106.0,148.0,128.0,108.0,133.0,78.0,126.0,98.0,146.0,105.0,61.0,107.0,71.0,72.0,66.0,66.0,63.0,58.0,85.0,66.0,93.0,94.0,53.0,62.0,66.0,55.0,51.0,68.0,48.0,38.0,76.0,38.0,64.0,73.0,42.0,32.0,42.0,54.0,44.0,28.0,41.0,44.0,38.0,51.0,44.0,39.0,30.0,45.0,41.0,43.0,55.0,24.0,44.0,26.0,51.0,57.0,50.0,43.0,Galway
226.0,259.0,260.0,248.0,247.0,417.0,375.0,343.0,321.0,408.0,444.0,405.0,172.0,255.0,243.0,249.0,257.0,209.0,180.0,262.0,206.0,187.0,193.0,265.0,94.0,197.0,154.0,170.0,143.0,132.0,177.0,133.0,260.0,223.0,144.0,134.0,49.0,63.0,100.0,70.0,66.0,70.0,117.0,53.0,61.0,55.0,63.0,99.0,23.0,47.0,53.0,62.0,62.0,70.0,44.0,31.0,44.0,39.0,33.0,38.0,16.0,30.0,39.0,29.0,27.0,44.0,35.0,27.0,42.0,26.0,25.0,47.0,15.0,34.0,31.0,24.0,37.0,23.0,25.0,22.0,20.0,62.0,33.0,22.0,20.0,26.0,15.0,17.0,31.0,25.0,38.0,22.0,31.0,44.0,29.0,33.0,Kerry
